SRR13697227	s_668X
SRR14092320	s_668Y
SRR14092319	s_668Z
SRR13221818	s_FMT.0001A
SRR13221817	s_FMT.0001E
SRR14092318	s_FMT.0009A
SRR13221824	s_FMT.0009AA
SRR14092317	s_FMT.0009X
SRR13221823	s_FMT.0009Y
SRR14092316	s_FMT.0010A
SRR13221829	s_FMT.0010S
SRR14092314	s_FMT.0020A
SRR13221827	s_FMT.0020G
SRR13697226	s_FMT.0034A
SRR13221831	s_FMT.0034I
SRR14092184	s_FMT.0034J
SRR13221826	s_FMT.0035A
SRR13221825	s_FMT.0035K
SRR14092183	s_FMT.0039A
SRR14092182	s_FMT.0039E
SRR13221821	s_FMT.0039F
SRR13221820	s_FMT.0050A
SRR13221819	s_FMT.0050L
SRR14092181	s_FMT.0061A
SRR14092180	s_FMT.0061Z
SRR14092179	s_FMT.0063A
SRR13697225	s_FMT.0063OO
SRR13697224	s_FMT.0064A
SRR14092178	s_FMT.0064B
SRR14092177	s_FMT.0064C
SRR14092176	s_FMT.0064D
SRR14092175	s_FMT.0064F
SRR13697223	s_FMT.0064G
SRR13697222	s_FMT.0064M
SRR13697221	s_FMT.0064X
SRR13697220	s_FMT.0066B
SRR14092173	s_FMT.0066D
SRR14092172	s_FMT.0066E
SRR14092171	s_FMT.0066I
SRR13697218	s_FMT.0066J
SRR13697217	s_FMT.0066M
SRR13697216	s_FMT.0066N
SRR14092170	s_FMT.0066O
SRR13697215	s_FMT.0066P
SRR13697214	s_FMT.0066Q
SRR13697213	s_FMT.0066R
SRR13697212	s_FMT.0066S
SRR13697211	s_FMT.0066T
SRR14092169	s_FMT.0066U
SRR14143412	s_FMT.0066V
SRR13697210	s_FMT.0066W
SRR13697209	s_FMT.0066X
SRR14092168	s_FMT.0069C
SRR13697100	s_FMT.0069D
SRR13697099	s_FMT.0069E
SRR14092167	s_FMT.0069F
SRR14092166	s_FMT.0069G
SRR13697098	s_FMT.0069H
SRR14092165	s_FMT.0069I
SRR13697097	s_FMT.0069J
SRR14092164	s_FMT.0069O
SRR13697096	s_FMT.0069P
SRR14092162	s_FMT.0069Q
SRR13697095	s_FMT.0069R
SRR13697094	s_FMT.0069S
SRR13697093	s_FMT.0077B
SRR14143425	s_FMT.0080A
SRR13697092	s_FMT.0091E
SRR14092160	s_FMT.0092A
SRR14092159	s_FMT.0092D
SRR14143424	s_FMT.0092E
SRR13697091	s_FMT.0092EE
SRR14143423	s_FMT.0092FF
SRR13697089	s_FMT.0092G
SRR14092158	s_FMT.0092HH
SRR13697088	s_FMT.0092I
SRR13697087	s_FMT.0092II
SRR13697086	s_FMT.0092J
SRR13697085	s_FMT.0092JJ
SRR13697084	s_FMT.0092L
SRR14092157	s_FMT.0092LL
SRR14092156	s_FMT.0092M
SRR14092155	s_FMT.0092MM
SRR14092154	s_FMT.0092N
SRR14092153	s_FMT.0092OO
SRR14092311	s_FMT.0092P
SRR14092310	s_FMT.0092Q
SRR13697083	s_FMT.0092T
SRR13697082	s_FMT.0092U
SRR14092309	s_FMT.0092V
SRR14092308	s_FMT.0092W
SRR13697081	s_FMT.0092X
SRR14092307	s_FMT.0092Y
SRR13697080	s_FMT.0092Z
SRR14143422	s_FMT.0093A
SRR13697078	s_FMT.0093Z
SRR14092306	s_FMT.0094A
SRR14092305	s_FMT.0094D
SRR13697077	s_FMT.0094E
SRR14092304	s_FMT.0094R
SRR14092303	s_FMT.0094U
SRR13697076	s_FMT.0097A
SRR13697075	s_FMT.0097B
SRR13697074	s_FMT.0097C
SRR14092302	s_FMT.0097D
SRR14092300	s_FMT.0097E
SRR14143421	s_FMT.0097G
SRR13697073	s_FMT.0097H
SRR13697072	s_FMT.0097I
SRR13697071	s_FMT.0097J
SRR14092299	s_FMT.0097K
SRR13697070	s_FMT.0097M
SRR13697069	s_FMT.0097N
SRR14092298	s_FMT.0099A
SRR14092297	s_FMT.0099O
SRR14092296	s_FMT.0103A
SRR14092295	s_FMT.0103Y
SRR14092294	s_FMT.0106A
SRR14092293	s_FMT.0106S
SRR14092292	s_FMT.0107A
SRR13697131	s_FMT.0111B
SRR14092291	s_FMT.0111C
SRR13697130	s_FMT.0111D
SRR14092289	s_FMT.0111E
SRR14092288	s_FMT.0111F
SRR13697129	s_FMT.0111G
SRR13697128	s_FMT.0113B
SRR14092287	s_FMT.0114A
SRR13697127	s_FMT.0114B
SRR14143420	s_FMT.0114C
